Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
1.46066;0.175447;0.703089;0.418891;-0.544097
1.47083;0.175468;0.702996;0.418973;-0.544149
1.481;0.175495;0.70292;0.419083;-0.544153
1.49116;0.175616;0.702851;0.419231;-0.544089
1.50133;0.175755;0.702808;0.419338;-0.544017
1.5115;0.175916;0.702773;0.419431;-0.543939
1.52167;0.176097;0.702752;0.41948;-0.543869
1.53183;0.176264;0.702762;0.419495;-0.54379
1.542;0.176418;0.702807;0.41945;-0.543718
1.55217;0.176541;0.702882;0.419358;-0.543651
1.56234;0.176631;0.702979;0.419234;-0.543592
1.5725;0.176685;0.703085;0.419083;-0.543554
1.58267;0.176698;0.703192;0.418893;-0.543558
1.59284;0.176638;0.703297;0.418658;-0.543623
1.603;0.176578;0.703375;0.418434;-0.543713
1.61317;0.176489;0.703467;0.418218;-0.543789
1.62334;0.176381;0.703563;0.418029;-0.543845
1.63351;0.176321;0.703644;0.417868;-0.543885
1.64368;0.17633;0.703683;0.41779;-0.54389
1.65384;0.176353;0.703707;0.417719;-0.543908
1.66401;0.176378;0.703726;0.417665;-0.543915
1.67418;0.176426;0.703732;0.417655;-0.5439
1.68435;0.176454;0.703753;0.417637;-0.543877
1.69451;0.176484;0.703779;0.417642;-0.54383
1.70468;0.176512;0.703809;0.417666;-0.543763
1.71485;0.176519;0.703878;0.417669;-0.54367
1.72502;0.176507;0.703955;0.417681;-0.543565
1.73519;0.17645;0.704045;0.41768;-0.543468
1.74535;0.176382;0.704126;0.417664;-0.543396
1.75552;0.176298;0.704201;0.417648;-0.543339
1.76569;0.176206;0.704273;0.417614;-0.543302
1.77585;0.176109;0.704346;0.417547;-0.54329
1.78602;0.176044;0.704403;0.417515;-0.543263
1.79619;0.175983;0.704459;0.417483;-0.543234
1.80636;0.175928;0.704509;0.417438;-0.543221
1.81652;0.175881;0.704546;0.417402;-0.543217
1.82669;0.175842;0.704587;0.41735;-0.543216
1.83686;0.175825;0.70463;0.417275;-0.543223
1.84703;0.175842;0.704664;0.417198;-0.543232
1.8572;0.175888;0.704704;0.41711;-0.543234
1.86736;0.175971;0.704735;0.417006;-0.543247
1.87753;0.176084;0.704748;0.416902;-0.543272
1.8877;0.176186;0.704781;0.416747;-0.543316
1.89787;0.17632;0.704809;0.416585;-0.54336
1.90803;0.17647;0.70484;0.416392;-0.543419
1.9182;0.17664;0.704879;0.416171;-0.543482
1.92837;0.176839;0.704908;0.415964;-0.54354
1.93854;0.177068;0.704935;0.41577;-0.543577
1.94871;0.17728;0.704948;0.415584;-0.543634
1.95887;0.17746;0.704962;0.415395;-0.543702
1.96904;0.177625;0.704975;0.415194;-0.543784
1.9792;0.177779;0.704973;0.415011;-0.543876
1.98937;0.177916;0.704982;0.414797;-0.543982
1.997;0.178025;0.704982;0.414642;-0.544065
2.00717;0.178149;0.704988;0.414434;-0.544175
2.01733;0.178261;0.704988;0.414232;-0.544292
2.0275;0.178403;0.70496;0.414091;-0.54439
2.03767;0.178547;0.704922;0.413977;-0.544478
2.04784;0.17869;0.704871;0.413892;-0.544562
2.058;0.178836;0.704828;0.413814;-0.544629
2.06817;0.178994;0.704782;0.413768;-0.544672
2.07834;0.179141;0.70474;0.41373;-0.544706
2.08851;0.179283;0.704704;0.413722;-0.544712
2.09868;0.179418;0.704694;0.413701;-0.544697
2.10884;0.179539;0.704693;0.413696;-0.544662
2.11901;0.179657;0.704702;0.413688;-0.544618
2.12918;0.179731;0.704728;0.413652;-0.544586
2.13935;0.179781;0.704776;0.413598;-0.54455
2.14952;0.17982;0.704822;0.413553;-0.544512
2.15968;0.179847;0.70489;0.413492;-0.54446
2.16985;0.179844;0.704971;0.413432;-0.544402
2.18001;0.179837;0.705056;0.413406;-0.544315
2.19018;0.179815;0.705151;0.413361;-0.544233
2.20035;0.179821;0.705217;0.413296;-0.544194
2.21052;0.179868;0.705248;0.413205;-0.544208
2.22069;0.179968;0.705208;0.413119;-0.544292
2.23085;0.180097;0.705128;0.413033;-0.544419
2.24102;0.18023;0.705021;0.412996;-0.544541
2.25119;0.180366;0.704903;0.413009;-0.544639
2.26136;0.180501;0.704789;0.413064;-0.544699
2.27152;0.180603;0.704684;0.413142;-0.544742
2.28169;0.180696;0.704615;0.413204;-0.544753
2.29186;0.180799;0.704551;0.413282;-0.544743
2.30203;0.180918;0.704506;0.41334;-0.544718
2.3122;0.181054;0.704485;0.413362;-0.544683
2.32236;0.181233;0.704469;0.413361;-0.544645
2.33253;0.181403;0.704477;0.413316;-0.544613
2.3427;0.181547;0.704524;0.413215;-0.54458
2.35287;0.181664;0.704592;0.413076;-0.544559
2.36303;0.181755;0.704681;0.412888;-0.544556
2.3732;0.181755;0.704785;0.41267;-0.544586
2.38337;0.181716;0.704893;0.412424;-0.544646
2.39353;0.181655;0.70499;0.412166;-0.544736
2.4037;0.181579;0.705069;0.411909;-0.544854
2.41387;0.181494;0.705132;0.41168;-0.544974
2.42404;0.18147;0.705177;0.411569;-0.545007
2.4342;0.181434;0.70521;0.411514;-0.545019
2.44437;0.181392;0.705245;0.411467;-0.545022
2.45454;0.181365;0.705246;0.411462;-0.545033
2.46471;0.181345;0.705236;0.411489;-0.545032
2.47488;0.181303;0.705237;0.411526;-0.545018
2.48504;0.18128;0.70524;0.411579;-0.544981
2.49521;0.181257;0.705251;0.41162;-0.544944
2.50538;0.181253;0.705264;0.411671;-0.544889
