Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
2.06725;-0.057094;0.740043;0.102594;-0.659681
2.07731;-0.0570568;0.74003;0.102596;-0.659698
2.08737;-0.0570369;0.740021;0.10257;-0.659714
2.09743;-0.057021;0.740015;0.102527;-0.659729
2.10749;-0.0570153;0.740004;0.102504;-0.659745
2.11754;-0.0569989;0.739996;0.102495;-0.659757
2.1276;-0.0569583;0.739989;0.102479;-0.659771
2.13766;-0.0569;0.73999;0.10248;-0.659775
2.14771;-0.0568363;0.739989;0.102486;-0.659781
2.15777;-0.0567816;0.739995;0.102487;-0.659779
2.16783;-0.0567307;0.740001;0.10248;-0.659777
2.17789;-0.0566645;0.74001;0.10243;-0.65978
2.18795;-0.0565896;0.740008;0.102401;-0.659794
2.198;-0.0564805;0.73999;0.102443;-0.659816
2.20806;-0.0563428;0.739966;0.102525;-0.659842
2.21812;-0.0561613;0.73993;0.102676;-0.659875
2.22818;-0.0559604;0.739895;0.102871;-0.659901
2.23824;-0.0558036;0.739874;0.102961;-0.659923
2.24829;-0.0557026;0.739855;0.102992;-0.659949
2.25835;-0.0556475;0.739842;0.10296;-0.659973
2.26841;-0.0556655;0.739842;0.102911;-0.659979
2.27847;-0.0557042;0.739849;0.102864;-0.659975
2.28853;-0.0557652;0.739853;0.102831;-0.659971
2.29859;-0.0558205;0.739868;0.102806;-0.659953
2.30864;-0.0558435;0.739883;0.102814;-0.659933
2.3187;-0.0559479;0.739884;0.102755;-0.659932
2.32875;-0.0560666;0.739884;0.102634;-0.659941
2.33881;-0.0561746;0.739889;0.102511;-0.659946
2.34887;-0.0562734;0.739897;0.10239;-0.659946
2.35893;-0.0563799;0.739912;0.102283;-0.659938
2.36899;-0.0563746;0.739938;0.102263;-0.659912
2.37905;-0.0563293;0.739964;0.102296;-0.659881
2.3891;-0.0562675;0.739986;0.102343;-0.659855
2.39916;-0.0561949;0.740008;0.102387;-0.659829
2.40922;-0.0561129;0.740021;0.102465;-0.65981
2.41928;-0.0560484;0.740033;0.102539;-0.65979
2.42934;-0.0559717;0.740046;0.102587;-0.659775
2.43939;-0.0558956;0.740055;0.102626;-0.659765
2.44945;-0.0558089;0.740067;0.102694;-0.659749
2.45951;-0.0557388;0.740077;0.102741;-0.659736
2.46957;-0.0556654;0.740104;0.102806;-0.659702
2.47963;-0.0556271;0.740141;0.102847;-0.659657
2.48968;-0.055606;0.740181;0.102854;-0.659612
2.49974;-0.0555892;0.740221;0.102824;-0.659574
2.5098;-0.0556024;0.740257;0.102801;-0.659536
2.51985;-0.0557601;0.740287;0.102646;-0.659513
2.52991;-0.0559106;0.740314;0.102488;-0.659495
2.53997;-0.0560553;0.740326;0.102363;-0.659488
2.55003;-0.0561785;0.740341;0.102235;-0.659481
2.56009;-0.0562682;0.740344;0.102143;-0.659484
2.57014;-0.0562901;0.740353;0.102123;-0.659475
2.5802;-0.0563062;0.740357;0.102128;-0.659469
2.59026;-0.0563198;0.740357;0.10213;-0.659467
2.60032;-0.0563268;0.740353;0.102137;-0.65947
2.61038;-0.0563428;0.740343;0.10214;-0.659479
2.62043;-0.0563747;0.740333;0.102153;-0.659485
2.63049;-0.0564222;0.74032;0.102152;-0.659497
2.64055;-0.0564612;0.740307;0.10216;-0.659507
2.65061;-0.0565099;0.740291;0.102194;-0.659515
2.66067;-0.0565781;0.740275;0.102218;-0.659523
2.67072;-0.0566864;0.740256;0.102185;-0.65954
2.68078;-0.056797;0.740243;0.102187;-0.659545
2.69084;-0.0568953;0.740229;0.102183;-0.659553
2.7009;-0.0569998;0.74021;0.102157;-0.659569
2.71096;-0.0570854;0.740208;0.102176;-0.659562
2.72101;-0.0571371;0.740219;0.102218;-0.659538
2.73107;-0.0571826;0.740221;0.102276;-0.659523
2.74113;-0.0572016;0.740229;0.102364;-0.659499
2.75118;-0.0572151;0.740225;0.102461;-0.659487
2.76124;-0.057195;0.74022;0.1026;-0.659472
2.7713;-0.0571334;0.740211;0.10277;-0.659462
2.78136;-0.0570577;0.740193;0.102936;-0.659463
2.79142;-0.056973;0.740175;0.103105;-0.659463
2.80148;-0.0568779;0.74015;0.103292;-0.659471
2.81153;-0.0567805;0.740129;0.103458;-0.659477
2.82159;-0.0566953;0.740104;0.103617;-0.659487
2.83165;-0.0566187;0.740082;0.103771;-0.659494
2.84171;-0.0565431;0.740063;0.103928;-0.659497
2.85177;-0.0564688;0.740047;0.104088;-0.659496
2.86182;-0.0563981;0.740038;0.104246;-0.659488
2.87188;-0.0563277;0.740032;0.104408;-0.659475
2.88194;-0.056277;0.740034;0.104554;-0.659453
2.892;-0.0562393;0.740039;0.104677;-0.659431
2.90206;-0.0562329;0.740042;0.104785;-0.659411
2.91211;-0.0562059;0.74005;0.104921;-0.659383
2.92217;-0.0561733;0.74006;0.105043;-0.659355
2.93223;-0.0561186;0.740066;0.105174;-0.659333
2.94228;-0.0560586;0.740077;0.105338;-0.659299
2.95234;-0.0559883;0.740082;0.105484;-0.659276
2.9624;-0.0559428;0.740088;0.105592;-0.659256
2.97246;-0.0559014;0.740091;0.105675;-0.659242
2.98252;-0.0558706;0.740092;0.105735;-0.659234
2.99257;-0.0558483;0.740091;0.105791;-0.659228
3.00263;-0.0558046;0.740078;0.105861;-0.659236
3.01269;-0.0557587;0.740052;0.105947;-0.659255
3.02275;-0.0557022;0.74002;0.106077;-0.659275
3.03281;-0.0556406;0.739976;0.106216;-0.659307
3.04286;-0.0556054;0.739935;0.106299;-0.659342
3.05292;-0.0555933;0.739885;0.106324;-0.659395
3.06298;-0.0556451;0.739847;0.106283;-0.659441
3.07304;-0.0557303;0.739806;0.106235;-0.659487
3.0831;-0.0558402;0.739763;0.10622;-0.659529
3.09315;-0.0559708;0.739725;0.106166;-0.659569
3.10321;-0.0561035;0.739692;0.106135;-0.659599
3.11327;-0.0561579;0.739665;0.106195;-0.659616
3.12332;-0.0561963;0.739641;0.106252;-0.65963
3.13338;-0.0562298;0.739624;0.106301;-0.659638
3.14344;-0.0562481;0.739618;0.106337;-0.659637
3.1535;-0.0562788;0.739621;0.106393;-0.659622
3.16356;-0.0563179;0.73963;0.106414;-0.659605
3.17361;-0.0563415;0.739645;0.10643;-0.659584
3.18367;-0.0563495;0.739658;0.106478;-0.659562
3.19373;-0.0563397;0.739665;0.106527;-0.659546
3.20379;-0.0563172;0.739672;0.10661;-0.659527
3.21385;-0.0562829;0.739673;0.106709;-0.659513
3.2239;-0.0562597;0.73967;0.106811;-0.659502
3.23396;-0.0562305;0.739661;0.106883;-0.659502
3.24402;-0.0562122;0.739663;0.106941;-0.659492
3.25408;-0.0561942;0.739671;0.107006;-0.659475
3.26414;-0.0561788;0.739683;0.107082;-0.659449
3.2742;-0.056176;0.739687;0.10714;-0.659436
3.28425;-0.056187;0.739708;0.107194;-0.659403
3.29431;-0.0561964;0.739728;0.107228;-0.659374
3.30437;-0.0562114;0.739753;0.107252;-0.659341
3.31443;-0.0562404;0.739771;0.10725;-0.659319
3.32448;-0.056273;0.739777;0.107247;-0.65931
3.33454;-0.0563073;0.739782;0.107238;-0.659303
3.3446;-0.0563335;0.739774;0.107249;-0.659308
3.35466;-0.0563348;0.739763;0.107288;-0.659313
3.36471;-0.0562848;0.739751;0.107361;-0.659319
3.37477;-0.0562221;0.739731;0.107424;-0.659336
3.38483;-0.0561515;0.739703;0.1075;-0.659362
3.39489;-0.0560742;0.739674;0.107568;-0.65939
3.40495;-0.0560124;0.73964;0.107671;-0.659417
3.415;-0.0559477;0.739606;0.107758;-0.659446
3.42506;-0.0559039;0.739574;0.107831;-0.659473
3.43512;-0.0558679;0.739555;0.107878;-0.65949
3.44518;-0.0558556;0.739531;0.107936;-0.659509
3.45524;-0.0558762;0.73951;0.107953;-0.659527
3.46529;-0.0559334;0.739478;0.107941;-0.65956
3.47535;-0.0560028;0.739453;0.107922;-0.659586
3.48541;-0.0560852;0.739425;0.107892;-0.659615
3.49547;-0.0561659;0.73939;0.107861;-0.659653
3.50553;-0.0562835;0.739358;0.107805;-0.659687
3.51558;-0.0564379;0.739326;0.107729;-0.659722
3.52564;-0.0565869;0.739296;0.107629;-0.65976
3.5357;-0.0567248;0.739268;0.107577;-0.659788
3.54575;-0.0568647;0.739246;0.107505;-0.659813
3.55581;-0.056928;0.739238;0.107505;-0.659816
3.56587;-0.0569561;0.739233;0.107535;-0.659814
3.57593;-0.0569632;0.739227;0.107578;-0.659814
3.58599;-0.0569804;0.739215;0.107626;-0.659818
3.59605;-0.0569608;0.739201;0.107687;-0.659825
3.6061;-0.0569498;0.73919;0.107739;-0.65983
3.61616;-0.0569331;0.739177;0.107807;-0.659834
3.62622;-0.0569049;0.739169;0.107892;-0.659832
3.63628;-0.0568738;0.739168;0.107989;-0.65982
3.64634;-0.0568489;0.739174;0.10806;-0.659804
3.65639;-0.0568118;0.739179;0.108134;-0.659789
3.66645;-0.0567678;0.739186;0.108218;-0.659771
3.67651;-0.0567351;0.739193;0.108274;-0.659757
3.68657;-0.0567078;0.73921;0.108337;-0.65973
3.69662;-0.0566752;0.739225;0.108409;-0.659705
3.70668;-0.056711;0.739234;0.10841;-0.659691
3.71674;-0.056729;0.739245;0.108432;-0.659673
3.7268;-0.0567414;0.739253;0.108462;-0.659659
3.73685;-0.0567364;0.739265;0.108523;-0.659636
3.74691;-0.0567343;0.739275;0.108575;-0.659615
3.75697;-0.0566838;0.739297;0.108639;-0.659585
3.76703;-0.0566601;0.739326;0.108681;-0.659548
3.77708;-0.0566416;0.739358;0.108701;-0.65951
3.78714;-0.0566011;0.739387;0.108708;-0.65948
3.7972;-0.0565504;0.739399;0.108794;-0.659456
3.80726;-0.0564561;0.739411;0.108928;-0.659428
3.81732;-0.0563559;0.739416;0.109087;-0.659406
3.82738;-0.0562733;0.739418;0.109208;-0.65939
3.83743;-0.0562376;0.739422;0.109255;-0.659381
3.84749;-0.0562658;0.739433;0.109231;-0.659371
3.85755;-0.0563743;0.739447;0.109144;-0.65936
3.86761;-0.0565185;0.739456;0.109034;-0.659356
3.87767;-0.0566883;0.739463;0.108939;-0.659349
3.88772;-0.0568675;0.739454;0.108869;-0.659355
3.89778;-0.0570327;0.739452;0.108808;-0.659353
3.90784;-0.0571457;0.739458;0.108756;-0.659346
3.91789;-0.0572261;0.739458;0.108728;-0.659343
3.92795;-0.0572919;0.73946;0.108679;-0.659342
3.93801;-0.0573431;0.739473;0.108625;-0.659332
