Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
2.56455;0.645023;-0.332791;-0.649423;-0.219258
2.57464;0.645075;-0.332714;-0.649419;-0.219232
2.58473;0.64512;-0.332626;-0.649433;-0.219189
2.59482;0.645158;-0.332555;-0.649425;-0.21921
2.60491;0.645185;-0.3325;-0.649416;-0.219241
2.615;0.645196;-0.332451;-0.649411;-0.219298
2.62509;0.64521;-0.332412;-0.649404;-0.219337
2.63518;0.645217;-0.332387;-0.649388;-0.219403
2.64526;0.645222;-0.332365;-0.649368;-0.21948
2.65535;0.645237;-0.332341;-0.649341;-0.219552
2.66544;0.645247;-0.332326;-0.649321;-0.219602
2.67553;0.645267;-0.332304;-0.649289;-0.219675
2.68562;0.64528;-0.332274;-0.64926;-0.219764
2.69571;0.645284;-0.332256;-0.64924;-0.219841
2.7058;0.645289;-0.332239;-0.649216;-0.219922
2.71589;0.645286;-0.332226;-0.649202;-0.219993
2.72598;0.645278;-0.332219;-0.649189;-0.220065
2.73607;0.64528;-0.332201;-0.649168;-0.220146
2.74615;0.645298;-0.332163;-0.649153;-0.220198
2.75624;0.645318;-0.332129;-0.649141;-0.220227
2.76633;0.645325;-0.332082;-0.649139;-0.22028
2.77642;0.645339;-0.33204;-0.649135;-0.220314
2.78651;0.645367;-0.331988;-0.649126;-0.220338
2.7966;0.645415;-0.331902;-0.649132;-0.220309
2.80669;0.645458;-0.331815;-0.649135;-0.220305
2.81678;0.645491;-0.331728;-0.649146;-0.220304
2.82687;0.645523;-0.331648;-0.649153;-0.220311
2.83696;0.645532;-0.331599;-0.649155;-0.220356
2.84704;0.645512;-0.33162;-0.649131;-0.220454
2.85713;0.645491;-0.331648;-0.649106;-0.220545
2.86722;0.645466;-0.331666;-0.649093;-0.22063
2.87731;0.645438;-0.33168;-0.649078;-0.220735
2.8874;0.645433;-0.331646;-0.649075;-0.220808
2.89749;0.645462;-0.331572;-0.649079;-0.220824
2.90758;0.645484;-0.331506;-0.649085;-0.220841
2.91767;0.645501;-0.331436;-0.649086;-0.220893
2.92776;0.645528;-0.331375;-0.649078;-0.220929
2.93784;0.645531;-0.331351;-0.649053;-0.221029
2.94793;0.645523;-0.331375;-0.649012;-0.221137
2.95802;0.645523;-0.331383;-0.648972;-0.221243
2.96811;0.645519;-0.331397;-0.648939;-0.221329
2.9782;0.645523;-0.331392;-0.648912;-0.221407
2.98829;0.645561;-0.331322;-0.648912;-0.221401
2.99838;0.645606;-0.331229;-0.648924;-0.221373
3.00847;0.645647;-0.331148;-0.648934;-0.221343
3.01856;0.645686;-0.331062;-0.648942;-0.221336
3.02865;0.645716;-0.330968;-0.648964;-0.221325
3.03873;0.645683;-0.330976;-0.648954;-0.221438
3.04882;0.645632;-0.331008;-0.648942;-0.221573
3.05891;0.645576;-0.331065;-0.648933;-0.22168
3.069;0.645523;-0.331114;-0.648924;-0.221786
3.07909;0.645479;-0.331166;-0.648907;-0.221887
3.08918;0.645489;-0.331131;-0.64891;-0.2219
3.09927;0.6455;-0.331108;-0.648906;-0.221914
3.10936;0.645524;-0.331068;-0.648896;-0.221933
3.11945;0.645553;-0.331011;-0.648875;-0.221994
3.12953;0.645581;-0.330948;-0.64886;-0.222053
3.13962;0.645603;-0.330905;-0.648831;-0.222136
3.14971;0.645614;-0.33086;-0.648824;-0.222192
3.1598;0.645623;-0.330826;-0.648815;-0.222242
3.16989;0.645627;-0.330802;-0.648806;-0.222294
3.17998;0.645643;-0.330764;-0.6488;-0.22232
3.19007;0.645683;-0.330677;-0.648814;-0.222293
3.20016;0.645727;-0.330588;-0.648827;-0.222259
3.21025;0.645768;-0.330488;-0.648851;-0.22222
3.22033;0.645817;-0.330385;-0.648866;-0.222185
3.23042;0.645864;-0.330292;-0.648878;-0.222155
3.24051;0.645894;-0.330224;-0.648884;-0.222148
3.2506;0.645924;-0.330142;-0.64889;-0.222166
3.26069;0.645944;-0.330072;-0.648907;-0.222163
3.27078;0.645956;-0.330014;-0.648925;-0.22216
3.28087;0.645966;-0.329954;-0.648955;-0.222135
3.29096;0.645973;-0.329901;-0.648992;-0.222083
3.30105;0.645976;-0.329837;-0.649029;-0.222063
3.31113;0.645977;-0.329784;-0.649058;-0.222053
3.32122;0.64597;-0.329749;-0.649091;-0.22203
3.33131;0.645947;-0.329751;-0.649109;-0.22204
3.3414;0.645925;-0.329777;-0.649106;-0.222074
3.35149;0.645905;-0.329792;-0.649107;-0.22211
3.36158;0.645893;-0.329787;-0.649108;-0.222147
3.37167;0.645884;-0.329781;-0.649112;-0.222171
3.38176;0.645889;-0.329739;-0.649128;-0.222172
3.39185;0.645904;-0.329666;-0.64916;-0.222144
3.40194;0.645919;-0.329579;-0.649186;-0.222153
3.41202;0.645932;-0.329502;-0.64921;-0.222158
